State,Confirmed,Deaths,Density,Pop,LandArea,"Total ""Two Dose Regimen"" Moderna","Total ""Two Dose Regimen"" Pfizer",Pifzer/Moderna Total Doses
Alabama,449086,7172,97.427,4934190,50645,273100,227175,500275
Alaska,51603,250,1.2694,724357,570641,84700,62400,147100
Arizona,738561,12643,66.2016,7520100,113594,387100,323700,710800
Arkansas,288964,4742,58.3059,3033950,52035,165800,141375,307175
California,3169935,38224,254.2929,39613500,155779,2178600,1806675,3985275
Colorado,390258,5552,56.8653,5893630,103642,309700,259350,569050
Connecticut,247339,6976,733.7505,3552820,4842,205200,173550,378750
Delaware,75832,1072,508.1242,990334,1949,54300,47775,102075
Florida,1676171,25833,409.2233,21944600,53625,1191800,989625,2181425
Georgia,731826,12135,188.3053,10830000,57513,564900,469950,1034850
Hawaii,25442,404,218.9678,1406430,6423,81200,70200,151400
Idaho,161212,1714,22.5079,1860120,82643,90900,77025,167925
Illinois,1112143,18964,226.3964,12569300,55519,565500,471900,1037400
Indiana,620545,9845,189.9643,6805660,35826,367200,307125,674325
Iowa,315170,4500,56.7157,3167970,55857,174300,147225,321525
Kansas,275237,3718,35.6807,2917220,81759,159100,136500,295600
Kentucky,352943,3542,113.4759,4480710,39486,248600,210600,459200
Louisiana,392416,8688,107.0966,4627000,43204,257800,218400,476200
Maine,31150,453,43.9166,1354520,30843,78500,67275,145775
Maryland,346559,7014,624.8522,6065440,9707,337700,281775,619475
Massachusetts,484639,14304,886.1846,6912240,7800,395100,330525,725625
Michigan,604233,15314,176.7352,9992430,56539,562500,468000,1030500
Minnesota,457317,6124,71.6641,5706400,79627,307900,257400,565300
Mississippi,268672,5917,63.2187,2966410,46923,164800,137475,302275
Missouri,449535,6548,89.7419,6169040,68742,341100,285675,626775
Montana,92531,1203,7.4547,1085000,145546,59600,52650,112250
Nebraska,187415,1913,25.4087,1952000,76824,105100,89700,194800
Nevada,268945,4042,29.0195,3185790,109781,163100,137475,300575
New Hampshire,63563,1006,153.2671,1372200,8953,78600,67275,145875
New Jersey,676488,21220,1206.7609,8874520,7354,500700,416325,917025
New Mexico,171047,3198,17.354,2105000,121298,117300,99450,216750
New York,1361151,42610,409.5404,19300000,47126,637500,531375,1168875
North Carolina,733010,8915,220.1037,10701000,48618,569800,474825,1044625
North Dakota,97160,1416,11.1596,770026,69001,43000,37050,80050
Ohio,878284,10931,286.6939,11714600,40861,653800,545025,1198825
Oklahoma,379110,3388,58.1739,3990440,68595,214700,181350,396050
Oregon,140064,1924,44.6873,4289440,95988,233900,195975,429875
Pennsylvania,818369,21105,286.1699,12804100,44743,644000,536250,1180250
Rhode Island,106914,2076,1026.6054,1061510,1034,61700,52650,114350
South Carolina,427231,6673,175.5707,5277830,30061,280100,234975,515075
South Dakota,107608,1739,11.8265,896581,75811,47500,43875,91375
Tennessee,715806,9316,168.4069,6944260,41235,373300,312000,685300
Texas,2294073,35152,113.808,29730300,261232,1491900,1238250,2730150
Utah,340717,1621,40.2917,3310770,82170,155200,129675,284875
Vermont,11379,172,67.6197,623251,9217,37200,35100,72300
Virginia,301211,3711,217.8774,8603980,39490,474300,394875,869175
Washington,305289,4211,117.3248,7796940,66456,415000,360750,775750
West Virginia,116935,1953,73.5444,1767860,24038,105800,89700,195500
Wisconsin,585600,5787,108.0633,5852490,54158,327200,273975,601175
Wyoming,51368,596,5.9847,581075,97093,32700,29250,61950
