State,Confirmed,Deaths
Alabama,"449,086","7,172"
Alaska,"51,603",250
Arizona,"738,561","12,643"
Arkansas,"288,964","4,742"
California,"3,169,935","38,224"
Colorado,"390,258","5,552"
Connecticut,"247,339","6,976"
Delaware,"75,832","1,072"
District of Columbia,"35,865",895
Florida,"1,676,171","25,833"
Georgia,"731,826","12,135"
Hawaii,"25,442",404
Idaho,"161,212","1,714"
Illinois,"1,112,143","18,964"
Indiana,"620,545","9,845"
Iowa,"315,170","4,500"
Kansas,"275,237","3,718"
Kentucky,"352,943","3,542"
Louisiana,"392,416","8,688"
Maine,"31,150",453
Maryland,"346,559","7,014"
Massachusetts,"484,639","14,304"
Michigan,"604,233","15,314"
Minnesota,"457,317","6,124"
Mississippi,"268,672","5,917"
Missouri,"449,535","6,548"
Montana,"92,531","1,203"
Nebraska,"187,415","1,913"
Nevada,"268,945","4,042"
New Hampshire,"63,563","1,006"
New Jersey,"676,488","21,220"
New Mexico,"171,047","3,198"
New York,"1,361,151","42,610"
North Carolina,"733,010","8,915"
North Dakota,"97,160","1,416"
Ohio,"878,284","10,931"
Oklahoma,"379,110","3,388"
Oregon,"140,064","1,924"
Pennsylvania,"818,369","21,105"
Rhode Island,"106,914","2,076"
South Carolina,"427,231","6,673"
South Dakota,"107,608","1,739"
Tennessee,"715,806","9,316"
Texas,"2,294,073","35,152"
Utah,"340,717","1,621"
Vermont,"11,379",172
Virginia,"301,211","3,711"
Washington,"305,289","4,211"
West Virginia,"116,935","1,953"
Wisconsin,"585,600","5,787"
Wyoming,"51,368",596
